order_id,user_id,created_at,discount_cost,basket
169,164,1/4/2022,10000,9800
170,165,1/4/2022,15000,20000
171,166,1/4/2022,0,25000
172,167,1/4/2022,0,40000
173,168,1/4/2022,10000,21500
174,169,1/4/2022,0,32000
175,170,1/4/2022,0,11000
176,171,1/4/2022,10000,40000
177,172,1/4/2022,0,14000
178,173,1/4/2022,15000,26000
179,174,1/4/2022,10000,23000
180,175,1/4/2022,0,31000
181,176,1/4/2022,0,50000
182,177,1/4/2022,0,20000
183,178,1/4/2022,10000,10000
184,179,1/4/2022,0,41000
185,180,1/4/2022,0,14000
186,181,1/4/2022,10000,6000
187,182,1/4/2022,10000,20000
188,183,1/4/2022,10000,7000
189,184,1/4/2022,10000,9000
190,185,1/4/2022,0,35000
191,186,1/4/2022,0,95000
192,187,1/4/2022,0,24000
193,188,1/5/2022,0,15000
194,189,1/5/2022,0,45000
195,190,1/5/2022,15000,21000
196,191,1/5/2022,10000,16000
197,192,1/5/2022,0,20300
198,193,1/5/2022,0,8000
199,194,1/5/2022,0,36000
200,195,1/5/2022,0,5000
201,196,1/5/2022,10000,7000
202,19,1/5/2022,0,30000
203,197,1/5/2022,0,30000
204,198,1/5/2022,0,75000
205,199,1/5/2022,10000,7500
206,200,1/5/2022,0,16000
207,75,1/5/2022,0,32000
208,201,1/5/2022,0,17500
209,202,1/5/2022,0,70000
210,158,1/5/2022,0,16000
211,203,1/5/2022,0,13500
212,204,1/5/2022,0,8000
213,6,1/5/2022,0,41800
214,205,1/5/2022,0,20000
215,206,1/5/2022,0,16000
216,207,1/5/2022,15000,24000
217,208,1/5/2022,15000,26000
218,209,1/5/2022,0,9500
219,210,1/5/2022,15000,26000
220,211,1/5/2022,0,14000
221,212,1/5/2022,0,10000
222,213,1/5/2022,10000,15000
223,214,1/5/2022,0,10500
224,215,1/5/2022,10000,6000
225,216,1/5/2022,0,30000
226,217,1/5/2022,15000,15000
227,218,1/5/2022,0,32000
228,219,1/5/2022,0,18000
229,220,1/5/2022,15000,35000
230,221,1/5/2022,0,50000
231,222,1/5/2022,0,45000
232,223,1/5/2022,10000,40000
233,62,1/5/2022,0,10000
234,224,1/5/2022,0,10000
235,225,1/5/2022,0,14000
236,226,1/5/2022,15000,22000
237,227,1/5/2022,0,9500
238,228,1/6/2022,0,7000
239,229,1/6/2022,0,39000
240,230,1/6/2022,10000,7000
241,231,1/6/2022,0,13000
242,232,1/6/2022,0,25000
243,233,1/6/2022,0,84000
244,103,1/6/2022,0,11000
245,234,1/6/2022,0,20000
246,235,1/6/2022,0,20000
247,236,1/6/2022,15000,20000
248,237,1/6/2022,15000,14000
249,238,1/6/2022,15000,25000
250,239,1/6/2022,15000,21000
251,240,1/6/2022,0,14000
252,241,1/6/2022,0,45000
253,242,1/6/2022,0,5000
254,243,1/6/2022,10000,7000
255,244,1/6/2022,10000,24000
256,245,1/6/2022,0,28000
257,246,1/6/2022,0,12000
258,247,1/6/2022,10000,9000
259,248,1/6/2022,0,7500
260,249,1/6/2022,0,17000
261,250,1/6/2022,0,60000
262,251,1/6/2022,15000,20000
263,252,1/6/2022,10000,17500
264,253,1/6/2022,0,31000
265,254,1/6/2022,0,20000
266,255,1/6/2022,0,24000
267,256,1/6/2022,15000,22500
268,257,1/6/2022,0,20900
269,258,1/6/2022,0,15000
270,259,1/6/2022,15000,21000
271,260,1/6/2022,0,17000
272,261,1/6/2022,10000,34000
273,262,1/6/2022,10000,6000
274,263,1/6/2022,10000,12000
275,264,1/6/2022,10000,20000
276,265,1/6/2022,0,28000
277,266,1/6/2022,10000,5000
278,267,1/6/2022,0,22500
279,268,1/6/2022,0,32000
280,269,1/6/2022,0,20000
281,270,1/6/2022,0,18000
282,271,1/6/2022,10000,15000
283,272,1/6/2022,10000,32000
284,273,1/6/2022,10000,6000
285,274,1/6/2022,0,14000
286,275,1/6/2022,0,22500
287,276,1/6/2022,10000,21000
288,277,1/6/2022,5500,5000
289,278,1/6/2022,15000,10000
290,279,1/6/2022,0,11000
291,280,1/6/2022,0,27000
292,281,1/6/2022,15000,28000
293,282,1/6/2022,15000,20500
294,283,1/6/2022,10000,5000
295,284,1/6/2022,0,8000
296,285,1/6/2022,12000,14000
297,286,1/6/2022,10000,42500
298,287,1/7/2022,0,45000
299,288,1/7/2022,0,10000
300,289,1/7/2022,0,8000
301,290,1/7/2022,10000,10000
302,291,1/7/2022,0,62000
303,236,1/7/2022,0,15000
304,292,1/7/2022,0,12000
305,293,1/7/2022,15000,30000
306,232,1/7/2022,0,30000
307,294,1/7/2022,20000,20000
308,295,1/7/2022,0,18000
309,296,1/7/2022,0,6000
310,297,1/7/2022,0,12000
311,298,1/7/2022,15000,14000
312,121,1/7/2022,0,10000
313,299,1/7/2022,0,84000
314,300,1/7/2022,10000,7000
315,301,1/7/2022,10000,12000
316,302,1/7/2022,15000,25000
317,303,1/7/2022,0,55000
318,304,1/7/2022,0,30000
319,305,1/7/2022,10000,8000
320,306,1/7/2022,0,14000
321,307,1/7/2022,15000,14000
322,308,1/7/2022,0,12000
323,309,1/7/2022,0,21500
324,310,1/7/2022,10000,6000
325,311,1/7/2022,0,10000
326,312,1/7/2022,10000,24000
327,313,1/7/2022,0,6700
328,314,1/7/2022,0,16000
329,315,1/7/2022,0,14000
330,316,1/7/2022,0,20000
331,317,1/7/2022,0,10000
332,318,1/7/2022,0,12000
333,319,1/7/2022,0,15000
334,319,1/7/2022,0,25000
335,320,1/7/2022,0,14000
336,321,1/7/2022,0,20000
337,322,1/7/2022,0,10000
338,323,1/7/2022,0,15000
339,324,1/7/2022,0,20000
340,325,1/7/2022,10000,30000
341,326,1/7/2022,15000,26000
342,327,1/7/2022,0,23750
343,38,1/7/2022,0,20000
344,328,1/7/2022,0,14000
345,329,1/7/2022,0,35000
346,330,1/7/2022,0,20000
347,331,1/7/2022,0,7000
348,332,1/7/2022,0,13000
349,333,1/7/2022,15000,12000
350,334,1/7/2022,0,10000
351,335,1/7/2022,0,12000
352,336,1/7/2022,0,13500
353,337,1/7/2022,0,20000
354,338,1/7/2022,15000,12500
355,339,1/7/2022,10000,15000
356,340,1/7/2022,10000,10000
357,341,1/7/2022,15000,20000
358,342,1/7/2022,15000,21000
359,75,1/7/2022,0,24000
360,343,1/7/2022,0,14000
361,344,1/7/2022,15000,27000
362,345,1/7/2022,10000,10000
363,346,1/7/2022,0,5500
364,347,1/7/2022,0,16000
365,348,1/7/2022,0,35000
366,228,1/8/2022,0,10000
367,349,1/8/2022,0,10000
368,260,1/8/2022,0,10000
369,350,1/8/2022,10000,42000
370,351,1/8/2022,15000,20000
371,352,1/8/2022,0,10000
372,289,1/8/2022,0,8000
373,353,1/8/2022,10000,10000
374,354,1/8/2022,0,16000
375,355,1/8/2022,0,15000
376,153,1/8/2022,0,20000
377,356,1/8/2022,0,20000
378,27,1/8/2022,0,10000
379,357,1/8/2022,0,10000
380,358,1/8/2022,10000,28500
381,359,1/8/2022,0,16000
382,360,1/8/2022,15000,10000
383,18,1/8/2022,0,14000
384,361,1/8/2022,0,14000
385,362,1/8/2022,0,41000
386,363,1/8/2022,10000,21000
387,364,1/8/2022,0,11000
388,365,1/8/2022,10000,10500
389,366,1/8/2022,0,48000
390,367,1/8/2022,0,6800
391,368,1/8/2022,10000,10000
392,369,1/8/2022,12000,10000
393,370,1/8/2022,10000,10000
394,371,1/8/2022,15000,25000
395,372,1/8/2022,0,20000
396,373,1/8/2022,10000,88000
397,374,1/8/2022,10000,6000
398,375,1/8/2022,0,45000
399,376,1/8/2022,10000,25000
400,377,1/8/2022,10000,6000
401,378,1/8/2022,10000,10000
402,379,1/8/2022,10000,20000
403,380,1/8/2022,0,15000
404,381,1/8/2022,10000,6000
405,382,1/8/2022,15000,18000
406,383,1/8/2022,15000,20000
407,384,1/8/2022,10000,6000
408,385,1/8/2022,10000,18000
409,386,1/8/2022,10000,12000
410,387,1/8/2022,0,10000
411,63,1/8/2022,0,24000
412,388,1/8/2022,15000,20500
413,42,1/8/2022,0,15000
414,389,1/8/2022,0,14000
415,390,1/8/2022,0,25000
416,391,1/8/2022,0,30000
417,392,1/8/2022,15000,17500
418,393,1/8/2022,0,28000
419,394,1/8/2022,0,26000
420,395,1/8/2022,15000,40000
421,396,1/8/2022,10000,11500
422,397,1/8/2022,0,12000
423,398,1/8/2022,0,27500
424,399,1/9/2022,10000,9000
425,66,1/9/2022,6000,16000
426,400,1/9/2022,0,18000
427,147,1/9/2022,0,20000
428,401,1/9/2022,10000,16000
429,58,1/9/2022,0,10000
430,12,1/9/2022,6000,10000
431,402,1/9/2022,0,13000
432,403,1/9/2022,15000,20000
433,404,1/9/2022,0,16000
434,14,1/9/2022,0,12000
435,405,1/9/2022,12000,21000
436,406,1/9/2022,10000,6000
437,99,1/9/2022,6000,20000
438,407,1/9/2022,0,10000
439,408,1/9/2022,0,8000
440,409,1/9/2022,10000,7000
441,410,1/9/2022,10000,5000
442,411,1/9/2022,15000,24000
443,105,1/9/2022,0,27000
444,412,1/9/2022,0,26000
445,413,1/9/2022,15000,18000
446,414,1/9/2022,0,20000
447,415,1/9/2022,10000,10000
448,416,1/9/2022,15000,16000
449,417,1/9/2022,12000,60000
450,418,1/9/2022,6000,18000
451,146,1/9/2022,0,30000
452,419,1/9/2022,15000,20000
453,420,1/9/2022,15000,14000
454,127,1/9/2022,6000,35000
455,421,1/9/2022,0,15000
456,422,1/9/2022,0,8000
457,423,1/9/2022,0,25000
458,424,1/9/2022,10000,8000
459,425,1/9/2022,0,20500
460,426,1/9/2022,0,19500
461,427,1/9/2022,0,45600
462,428,1/9/2022,10000,21000
463,429,1/9/2022,0,36100
464,430,1/9/2022,10000,6000
465,23,1/9/2022,0,9000
466,431,1/9/2022,0,24000
467,432,1/9/2022,10000,28000
468,429,1/9/2022,0,12000
469,433,1/9/2022,10000,8000
470,434,1/9/2022,0,12500
471,435,1/9/2022,0,24000
472,436,1/9/2022,0,15000
473,179,1/9/2022,0,43000
474,437,1/9/2022,0,9500
475,438,1/9/2022,0,33000
476,328,1/9/2022,0,18000
477,439,1/9/2022,0,16000
478,440,1/9/2022,0,30000
479,441,1/9/2022,0,24000
480,442,1/9/2022,0,9000
481,228,1/10/2022,0,8000
482,400,1/10/2022,14000,9000
483,116,1/10/2022,6000,14000
484,443,1/10/2022,0,20000
485,444,1/10/2022,15000,36000
486,445,1/10/2022,0,13500
487,446,1/10/2022,10000,10000
488,447,1/10/2022,10000,8000
489,448,1/10/2022,10000,5000
490,449,1/10/2022,10000,13500
491,450,1/10/2022,0,15000
492,451,1/10/2022,0,25000
493,452,1/10/2022,0,10500
494,453,1/10/2022,10000,12000
495,454,1/10/2022,0,19500
496,455,1/10/2022,0,20000
497,456,1/10/2022,10000,20000
498,457,1/10/2022,15000,25000
499,458,1/10/2022,0,10000
500,459,1/10/2022,0,7000
501,460,1/10/2022,0,23000
502,168,1/10/2022,0,21500
503,461,1/10/2022,0,48000
504,462,1/10/2022,10000,20000
505,463,1/10/2022,0,25000
506,464,1/10/2022,0,7500
507,397,1/10/2022,0,20000
508,465,1/10/2022,10000,20150
509,466,1/10/2022,10000,29000
510,212,1/10/2022,0,7000
511,467,1/10/2022,0,16000
512,468,1/10/2022,10000,14000
513,469,1/10/2022,10000,50000
514,470,1/10/2022,10000,6000
515,75,1/10/2022,0,21000
516,471,1/10/2022,10000,12500
517,472,1/10/2022,0,49000
518,473,1/10/2022,0,9000
519,474,1/10/2022,0,18000
520,475,1/10/2022,0,20000
521,476,1/10/2022,0,8000
522,477,1/10/2022,15000,20000
523,478,1/10/2022,0,14000
524,364,1/10/2022,0,7000
525,479,1/10/2022,0,34500
526,480,1/10/2022,10000,12000
527,481,1/10/2022,0,32000
528,482,1/10/2022,0,15000
529,483,1/10/2022,0,24000
530,314,1/10/2022,0,23000
531,484,1/10/2022,10000,12000
532,485,1/10/2022,10000,10000
533,486,1/10/2022,15000,20000
534,487,1/11/2022,0,25000
535,6,1/11/2022,0,10000
536,488,1/11/2022,0,6000
537,489,1/11/2022,0,14000
538,490,1/11/2022,0,15000
539,491,1/11/2022,10000,16000
540,404,1/11/2022,0,19000
541,18,1/11/2022,0,16000
542,492,1/11/2022,0,15000
543,493,1/11/2022,10000,8000
544,494,1/11/2022,10000,12000
545,495,1/11/2022,15000,11000
546,99,1/11/2022,0,18000
547,496,1/11/2022,15000,12500
548,497,1/11/2022,15000,18500
549,498,1/11/2022,0,10000
550,499,1/11/2022,0,10000
551,500,1/11/2022,0,6500
552,241,1/11/2022,0,20000
553,501,1/11/2022,10000,10500
554,502,1/11/2022,0,6750
555,503,1/11/2022,0,21000
556,504,1/11/2022,0,97500
557,505,1/11/2022,10000,10000
558,154,1/11/2022,0,28500
559,506,1/11/2022,0,43000
560,507,1/11/2022,0,10000
561,201,1/11/2022,0,31000
562,508,1/11/2022,0,7000
563,509,1/11/2022,10000,12000
564,510,1/11/2022,10000,44000
565,511,1/11/2022,0,20000
566,512,1/11/2022,0,30000
567,315,1/11/2022,0,14000
568,513,1/11/2022,15000,25000
569,514,1/11/2022,10000,6000
570,515,1/11/2022,10000,21000
571,516,1/11/2022,0,35000
572,517,1/11/2022,0,24000
573,518,1/11/2022,0,15000
574,519,1/11/2022,10000,5400
575,520,1/11/2022,0,40000
576,521,1/11/2022,15000,15000
577,522,1/11/2022,15000,34500
578,523,1/11/2022,15000,21000
579,524,1/11/2022,15000,30500
580,525,1/11/2022,0,31000
581,272,1/11/2022,0,32000
582,526,1/11/2022,0,10000
583,527,1/11/2022,10000,32000
584,448,1/12/2022,12000,10000
585,528,1/12/2022,15000,11000
586,529,1/12/2022,0,24000
587,530,1/12/2022,10000,25000
588,531,1/12/2022,10000,14000
589,532,1/12/2022,0,28000
590,533,1/12/2022,0,6000
591,500,1/12/2022,0,6500
592,415,1/12/2022,0,10000
593,101,1/12/2022,6000,30000
594,354,1/12/2022,0,16000
595,358,1/12/2022,0,14000
596,534,1/12/2022,0,40000
597,535,1/12/2022,0,15000
598,536,1/12/2022,10000,5000
599,537,1/12/2022,0,39000
600,538,1/12/2022,12000,25000
601,539,1/12/2022,0,12000
602,540,1/12/2022,15000,24000
603,541,1/12/2022,0,12000
604,542,1/12/2022,0,21000
605,543,1/12/2022,10000,12000
606,544,1/12/2022,0,6000
607,205,1/12/2022,0,22500
608,545,1/12/2022,0,10000
609,546,1/12/2022,0,10000
610,547,1/12/2022,0,10000
611,548,1/12/2022,10000,8000
612,512,1/12/2022,0,30000
613,549,1/12/2022,10000,15000
614,550,1/12/2022,0,17000
615,551,1/12/2022,15000,22000
616,371,1/12/2022,0,43000
617,36,1/12/2022,6000,22000
618,552,1/12/2022,15000,21000
619,553,1/12/2022,10000,5000
620,554,1/12/2022,10000,24000
621,555,1/12/2022,6000,21000
622,556,1/12/2022,10000,11250
623,557,1/12/2022,0,40000
624,558,1/12/2022,10000,20000
625,216,1/12/2022,0,35000
626,559,1/12/2022,0,10500
627,91,1/12/2022,6000,15000
628,560,1/12/2022,0,15000
629,561,1/12/2022,10000,9600
630,562,1/12/2022,10000,12000
631,192,1/12/2022,0,27500
632,563,1/12/2022,0,57000
633,62,1/12/2022,0,10000
634,564,1/12/2022,15000,32000
635,565,1/12/2022,12000,12000
636,346,1/12/2022,0,16000
637,566,1/12/2022,10000,9000
638,567,1/13/2022,0,20000
639,568,1/13/2022,10000,14000
640,569,1/13/2022,10000,7000
641,570,1/13/2022,0,16000
642,571,1/13/2022,0,10000
643,75,1/13/2022,0,15000
644,572,1/13/2022,10000,10000
645,254,1/13/2022,0,20000
646,440,1/13/2022,0,24000
647,289,1/13/2022,0,13500
648,573,1/13/2022,0,10000
649,299,1/13/2022,0,120000
650,574,1/13/2022,10000,16000
651,500,1/13/2022,0,6500
652,575,1/13/2022,10000,7000
653,576,1/13/2022,0,12000
654,577,1/13/2022,15000,10500
655,578,1/13/2022,0,6000
656,579,1/13/2022,10000,19500
657,580,1/13/2022,0,19500
658,581,1/13/2022,0,50000
659,582,1/13/2022,10000,40000
660,367,1/13/2022,0,13800
661,18,1/13/2022,0,14000
662,583,1/13/2022,0,30000
663,404,1/13/2022,0,18000
664,364,1/13/2022,0,11000
665,584,1/13/2022,0,24000
666,585,1/13/2022,10000,6000
667,586,1/13/2022,0,41000
668,587,1/13/2022,0,17000
669,588,1/13/2022,0,18000
670,589,1/13/2022,0,12000
671,590,1/13/2022,10000,5200
672,306,1/13/2022,0,13000
673,591,1/13/2022,10000,5000
674,592,1/13/2022,10000,6500
675,593,1/13/2022,15000,45000
676,594,1/13/2022,0,8000
677,595,1/13/2022,0,11500
678,83,1/13/2022,0,5000
679,596,1/13/2022,0,18600
680,597,1/13/2022,10000,8000
681,598,1/13/2022,10000,6000
682,599,1/13/2022,0,12000
683,600,1/13/2022,10000,6000
684,601,1/13/2022,10000,25000
685,602,1/13/2022,0,20000
686,603,1/13/2022,0,11000
687,595,1/13/2022,0,8000
688,604,1/13/2022,10000,6000
689,605,1/13/2022,0,6300
690,606,1/13/2022,0,18000
691,607,1/13/2022,15000,20000
692,608,1/13/2022,0,24000
693,609,1/13/2022,0,15000
694,609,1/13/2022,0,12000
695,610,1/13/2022,0,8000
696,611,1/13/2022,0,19500
697,354,1/13/2022,0,24000
698,612,1/13/2022,0,20000
699,613,1/13/2022,0,25000
700,426,1/13/2022,0,19500
701,614,1/13/2022,10000,5000
702,615,1/13/2022,10000,15000
703,137,1/13/2022,0,20000
704,616,1/13/2022,15000,24000
705,617,1/13/2022,10000,22000
706,618,1/13/2022,10000,14000
707,619,1/14/2022,0,20000
708,620,1/14/2022,0,16000
709,621,1/14/2022,0,21000
710,622,1/14/2022,0,5000
711,623,1/14/2022,0,19000
712,624,1/14/2022,0,16500
713,625,1/14/2022,0,7000
714,75,1/14/2022,0,21000
715,626,1/14/2022,0,30000
716,627,1/14/2022,0,22000
717,628,1/14/2022,0,10000
718,629,1/14/2022,10000,18000
719,630,1/14/2022,10000,17000
720,631,1/14/2022,0,18000
721,298,1/14/2022,0,14000
722,632,1/14/2022,0,12000
723,633,1/14/2022,10000,11000
724,634,1/14/2022,10000,12000
725,635,1/14/2022,11000,10000
726,636,1/14/2022,0,9000
727,637,1/14/2022,0,37000
728,638,1/14/2022,10000,17000
729,639,1/14/2022,0,25000
730,640,1/14/2022,0,40000
731,641,1/14/2022,0,10000
732,642,1/14/2022,15000,21000
733,364,1/14/2022,0,24000
734,643,1/14/2022,0,20000
735,644,1/14/2022,0,7000
736,645,1/14/2022,0,20000
737,646,1/14/2022,0,14000
738,647,1/14/2022,10000,10000
739,648,1/14/2022,10000,5000
740,6,1/14/2022,0,7000
741,535,1/14/2022,0,8000
742,649,1/14/2022,10000,13000
743,650,1/14/2022,0,14000
744,651,1/14/2022,0,5000
745,652,1/14/2022,0,20000
746,500,1/14/2022,0,30000
747,653,1/14/2022,0,20000
748,654,1/14/2022,0,44000
749,10,1/14/2022,0,30000
750,655,1/14/2022,15000,36000
751,656,1/14/2022,15000,20000
752,657,1/14/2022,10000,18000
753,155,1/14/2022,0,90000
754,658,1/14/2022,0,15000
755,659,1/14/2022,10000,7600
756,660,1/14/2022,0,10500
757,661,1/14/2022,0,45000
758,75,1/14/2022,0,30000
759,662,1/14/2022,0,36000
760,663,1/14/2022,0,20000
761,664,1/14/2022,10000,10000
762,665,1/14/2022,0,24000
763,666,1/14/2022,10000,6000
764,667,1/14/2022,10000,6000
765,668,1/14/2022,10000,18000
766,179,1/14/2022,0,43000
767,669,1/14/2022,0,24000
768,670,1/14/2022,0,6300
769,229,1/14/2022,0,20000
770,671,1/14/2022,0,12000
771,672,1/14/2022,0,36000
772,673,1/14/2022,0,8000
773,674,1/14/2022,0,28000
774,675,1/14/2022,1500,63500
775,676,1/14/2022,15000,25000
776,677,1/14/2022,0,12000
777,678,1/14/2022,10000,14000
778,75,1/14/2022,0,30000
779,679,1/15/2022,0,6000
780,680,1/15/2022,0,5500
781,681,1/15/2022,0,6000
782,682,1/15/2022,10000,7000
783,500,1/15/2022,0,6500
784,238,1/15/2022,0,18000
785,683,1/15/2022,15000,20000
786,684,1/15/2022,0,53000
787,685,1/15/2022,15000,20000
788,578,1/15/2022,0,7000
789,19,1/15/2022,0,30000
790,136,1/15/2022,0,14000
791,686,1/15/2022,10000,29000
792,687,1/15/2022,10000,20000
793,688,1/15/2022,10000,5400
794,689,1/15/2022,0,18000
795,690,1/15/2022,0,48000
796,691,1/15/2022,15000,30000
797,105,1/15/2022,0,27000
798,692,1/15/2022,0,36000
799,632,1/15/2022,0,8000
800,463,1/15/2022,0,73000
801,693,1/15/2022,12000,12000
802,694,1/15/2022,15000,25000
803,289,1/15/2022,0,8000
804,695,1/15/2022,0,7000
805,696,1/15/2022,0,10000
806,697,1/15/2022,10000,16000
807,588,1/15/2022,0,34000
808,381,1/15/2022,0,6000
